step,epoch,train_cnt,avg_reward,avg_q,epsilon,time
1410000,28,1410000,15.4,0.478565406448,0.01,109470.116153
1420000,28,1420000,15.8709677419,0.481817204364,0.01,110235.932524
1430000,28,1430000,16.5869565217,0.481777967133,0.01,111009.281576
1440000,28,1440000,17.2950819672,0.480671900569,0.01,111787.400839
1450000,29,1450000,17.025974026,0.480829449726,0.01,112565.880346
1460000,29,1460000,19.2857142857,0.478235109576,0.01,113353.660844
1470000,29,1470000,16.7096774194,0.477798064489,0.01,114115.101635
1480000,29,1480000,16.8222222222,0.468015932964,0.01,114888.056073
1490000,29,1490000,16.0483870968,0.469561049356,0.01,115673.73332
1500000,30,1500000,16.2051282051,0.470458637863,0.01,116449.750269
1510000,30,1510000,15.3125,0.474887870755,0.01,117243.269235
1520000,30,1520000,16.0625,0.478531819541,0.01,118007.239745
1530000,30,1530000,17.3913043478,0.475033728778,0.01,118782.939954
1540000,30,1540000,17.6,0.475457208014,0.01,119539.757482
1550000,31,1550000,17.8266666667,0.474796616483,0.01,120303.712241
1560000,31,1560000,20.9230769231,0.479755772908,0.01,121098.914804
1570000,31,1570000,19.0689655172,0.477050756192,0.01,121875.137748
1580000,31,1580000,18.6666666667,0.477955648438,0.01,122636.977745
1590000,31,1590000,18.7627118644,0.480459994314,0.01,123399.903133
1600000,32,1600000,18.4594594595,0.480455636335,0.01,124162.44179
1610000,32,1610000,16.9333333333,0.489270585911,0.01,124962.744426
1620000,32,1620000,19.2068965517,0.498558564197,0.01,125737.822999
1630000,32,1630000,19.7045454545,0.498329365663,0.01,126512.978391
1640000,32,1640000,19.5689655172,0.497895962161,0.01,127294.38641
1650000,33,1650000,20.1690140845,0.500622672758,0.01,128066.406897
1660000,33,1660000,21.1538461538,0.500594688165,0.01,128866.722663
1670000,33,1670000,22.1923076923,0.503304172193,0.01,129630.105424
1680000,33,1680000,21.85,0.503629961723,0.01,130416.310842
1690000,33,1690000,21.679245283,0.506975764967,0.01,131292.057218
1700000,34,1700000,22.984375,0.508900800691,0.01,132167.841042
1710000,34,1710000,25.8333333333,0.511734501969,0.01,133162.385881
1720000,34,1720000,24.44,0.513830976225,0.01,133999.209483
1730000,34,1730000,24.6486486486,0.515679142653,0.01,134847.293542
1740000,34,1740000,24.4897959184,0.518407757624,0.01,135682.02222
1750000,35,1750000,23.5714285714,0.517789311406,0.01,136579.327874
1760000,35,1760000,22.4615384615,0.522291174408,0.01,137524.039527
1770000,35,1770000,25.25,0.518067942365,0.01,138466.696011
1780000,35,1780000,25.6486486486,0.52045997418,0.01,139396.434341
1790000,35,1790000,26.8936170213,0.518800612474,0.01,140176.836221
1800000,36,1800000,26.0327868852,0.51989821551,0.01,140920.669113
1810000,36,1810000,24.4166666667,0.518989437728,0.01,141690.481503
1820000,36,1820000,24.24,0.51536865444,0.01,142421.440797
1830000,36,1830000,24.9473684211,0.508523516402,0.01,143149.701042
1840000,36,1840000,24.76,0.509144546421,0.01,143893.2252
